menu_item,count,avg_sentiment,neg_count,pos_count,neu_count,negative_ratio,health_score,action
Fish Curry,167,0.3830694610778443,27,113,27,0.16167664670658682,0.2698958083832335,Keep
Veg Biryani,141,0.384009219858156,21,100,20,0.14893617021276595,0.27975390070921985,Keep
Samosa,169,0.38723017751479294,25,111,33,0.14792899408284024,0.2836798816568048,Keep
Ice Cream,182,0.3739571428571428,23,119,40,0.12637362637362637,0.2854956043956044,Keep
Bonda,178,0.3865803370786517,23,122,33,0.12921348314606743,0.2961308988764045,Keep
Chicken Biryani,173,0.40816705202312137,24,122,27,0.13872832369942195,0.311057225433526,Keep
Pongal,171,0.39544269005847954,19,113,39,0.1111111111111111,0.31766491228070176,Keep
Veg Curry,159,0.4070207547169812,20,117,22,0.12578616352201258,0.3189704402515724,Keep
Uggani,181,0.4155403314917127,21,127,33,0.11602209944751381,0.33432486187845306,Keep
Gulab Jamun,155,0.4389406451612903,20,115,20,0.12903225806451613,0.348618064516129,Keep
Paneer Curry,158,0.44581075949367094,18,116,24,0.11392405063291139,0.366063924050633,Keep
Curd Rice,179,0.45463240223463686,22,131,26,0.12290502793296089,0.36859888268156427,Keep
Idli,177,0.45121920903954804,18,130,29,0.1016949152542373,0.38003276836158195,Keep
Sambar Rice,167,0.4717766467065868,19,131,17,0.11377245508982035,0.39213592814371256,Keep
Mutton Curry,149,0.462151677852349,14,114,21,0.09395973154362416,0.3963798657718121,Keep
Vada,179,0.48460502793296084,20,139,20,0.11173184357541899,0.40639273743016757,Keep
Roti,165,0.4983387878787878,14,131,20,0.08484848484848485,0.43894484848484844,Keep
Dosa,150,0.508382,12,120,18,0.08,0.452382,Keep
