user_id,age,gender,occupation,feedback_text,feedback_timestamp,menu_item,meal_time,previous_feedbacks,interaction_count
1,29,Male,Student,I appreciated the healthy options available.,2023-08-26 06:50:56,Rasmalai,Morning,[-0.46936968862289463],7
2,26,Female,Student,The preparation was well done.,2024-03-21 14:47:49,Pav Bhaji,Morning,"[-0.8951806094517338, -0.040509179735423784]",9
3,28,Female,Student,The preparation was well done.,2023-02-08 11:57:43,Roti,Afternoon,[0.7386256753701463],8
4,19,Female,Student,I didn’t like the texture of the meal.,2023-12-22 13:59:39,Idli,Morning,"[-0.4558783746692405, 0.9791000715753788]",4
5,24,Male,Student,The staff was attentive and friendly.,2024-01-25 20:35:34,Samosa,Evening,"[0.17746620669430824, 0.7307428794671529, 0.6981574135720572, -0.43233682437995435]",4
6,23,Female,Student,I would recommend this place for its service.,2023-08-25 05:47:46,Mutton Curry,Afternoon,"[0.6939903262734952, 0.642057305692157, -0.2935607312697086, 0.4518754381262218]",5
7,18,Female,Student,I didn’t enjoy the temperature of the food.,2023-12-01 02:07:59,egg,Morning,"[0.09128544494942492, -0.5684150157907555, 0.05041020523790429]",2
8,20,Female,Student,I didn’t enjoy the temperature of the food.,2023-07-30 15:19:59,Ice Cream,Afternoon,[-0.712041415571318],1
9,27,Female,Student,The food was a bit bland.,2024-04-13 19:39:50,Mushroom Soup,Evening,"[0.5434916404737722, 0.16119747404381557, 0.15330028094516668, 0.9825336687733712]",1
10,21,Female,Student,I didn’t enjoy the temperature of the food.,2023-04-09 18:59:30,Kofta Curry,Afternoon,"[-0.6665172111322766, 0.50171531440935]",2
11,25,Female,Student,I didn’t like the texture of the meal.,2024-05-27 17:18:23,Garlic Bread,Evening,"[-0.2004774544785648, 0.09940552843427075, -0.08614472743846457]",6
12,21,Female,Student,The meal was light and refreshing.,2023-11-20 13:54:48,Veg Biryani,Evening,"[-0.1682855408221633, 0.519996782112703, 0.15976633695271758, -0.959088927634866]",9
13,25,Male,Student,The meal was not enough salty.,2023-12-15 19:09:45,Samosa,Morning,"[-0.12404147244152619, -0.49610978091224456, 0.08206990439157846]",8
14,23,Male,Student,I would recommend this place for its service.,2024-02-03 05:49:28,Chicken Biryani,Afternoon,"[0.008741275663004311, -0.24710920192762043, 0.6146016316387439]",8
15,26,Male,Student,The temperature could have been better.,2024-03-17 00:59:08,Fried Rice,Afternoon,"[-0.19748655461771603, -0.557191354108517, 0.7069487297244197]",7
16,29,Male,Student,I loved the variety of options.,2023-01-05 12:29:31,Veg Curry,Afternoon,"[0.1422740553846764, 0.8365957649887161, 0.9983986021598199, -0.7720902199219026]",8
17,21,Female,Student,I didn’t like the texture of the meal.,2023-01-26 00:01:14,Kofta Curry,Morning,"[-0.7106534758395471, 0.9798174216485507, -0.5287855589909811, 0.5838759452601805, -0.33141862330063243]",7
18,24,Female,Student,I didn’t like the texture of the meal.,2023-04-23 14:38:58,Gulab Jamun,Morning,"[-0.8461547229954172, -0.5773864296239117, 0.06260002544879484]",5
19,20,Female,Student,I enjoyed the attentive service.,2024-02-14 16:58:41,Veg Biryani,Morning,"[-0.9253414477835118, 0.608641065471961, -0.5877247996090744, 0.6782631277877351, 0.770933303401065]",9
20,23,Female,Student,The service was not enough slow.,2023-09-19 00:44:11,Mutton Curry,Morning,[-0.2775140205764506],7
21,18,Female,Student,The staff was very polite and attentive.,2023-12-16 12:45:13,Pasta,Afternoon,[0.35136942528446125],1
22,26,Female,Student,I would recommend this place for its service.,2024-05-17 07:56:13,Chole Bhature,Afternoon,"[-0.8729932623264531, -0.04942630282046956, -0.8652785075510181, -0.3563100496620448, 0.9605329793235076]",2
23,21,Male,Student,The portions were generous.,2024-04-21 06:09:02,Vada,Evening,"[-0.7390343800721426, 0.762981467801682, 0.4838884334351208, 0.567268271705631, -0.030091404263395294]",2
24,25,Female,Student,The temperature of the food was perfect.,2023-04-08 21:53:46,Fish Curry,Morning,"[-0.7835656502635211, -0.7965597659564816]",6
25,18,Female,Student,The preparation was well done.,2024-09-10 01:45:05,Uttapam,Morning,[-0.44950039789119645],3
26,21,Male,Student,I didn’t enjoy the temperature of the food.,2023-06-05 23:42:03,Chole Bhature,Afternoon,[0.6741797410385446],5
27,18,Male,Student,The staff provided excellent service.,2023-01-28 06:49:13,Veg Biryani,Evening,"[0.7759803332497861, -0.5627647910091769, -0.10071373377851822, -0.16197821639317822, 0.9053840972777749]",7
28,24,Male,Student,The meal was not enough dry for my liking.,2024-06-10 14:02:16,Veg Curry,Afternoon,[0.9481001808568048],1
29,21,Male,Student,The food was lukewarm and soggy.,2023-03-08 10:37:31,bonda,Morning,"[-0.635546308908375, -0.943747925748311]",7
30,24,Female,Student,The meal was missing a key ingredient.,2024-08-17 12:00:12,Mutton Curry,Morning,"[-0.7874072772383103, 0.7090640943413775, -0.10589865175178415, 0.278444620756626]",5
31,28,Female,Student,The overall experience was satisfying.,2024-04-04 02:53:17,egg,Evening,"[-0.03018714157496949, 0.5387242858329375, 0.5516325839969256, 0.46989952439483873]",9
32,22,Female,Student,I didn’t enjoy the quality.,2024-06-09 21:30:48,Manchurian,Morning,"[0.3180471631890269, 0.39894306558764225]",4
33,21,Female,Student,I didn’t enjoy the temperature of the food.,2024-01-04 23:38:14,Fish Curry,Morning,"[0.5884383654120129, 0.25156918674061846, -0.00625842117981712]",7
34,28,Male,Student,The meal was too dry for my liking.,2023-02-18 12:25:00,Paneer Butter Masala,Morning,"[-0.6153104008732233, 0.19752765632147185, -0.2940447355081264, -0.7983950778810085, -0.8216418116375035]",1
35,18,Female,Student,The overall dining experience was excellent.,2024-07-20 05:56:11,egg,Morning,"[-0.454687436953892, -0.44019433876754377, 0.05320254495145593, 0.3544887354621893, -0.5137370485486392]",7
36,25,Female,Student,The food quality was excellent!,2023-05-05 08:22:35,Mutton Curry,Evening,"[0.5051739939322446, 0.7848366596853504, -0.12796242012703085, -0.47718989953569246]",8
37,28,Male,Student,I appreciated the variety of healthy options.,2024-04-14 21:34:31,Caesar Salad,Evening,"[0.5665354432851177, 0.017293140034056576, -0.07732730104029861, 0.09851977502939091, 0.4648414009273758]",4
38,18,Female,Student,I would recommend this place for its service.,2024-01-26 07:01:05,Uttapam,Evening,[0.146154612781479],4
39,28,Female,Student,The portions were just right.,2023-02-10 23:27:41,Garlic Bread,Evening,"[-0.9270990769055181, 0.2730057884938115, 0.09251788130005756, -0.2599735767849132, -0.7995028153088708]",6
40,20,Male,Student,The flavors were not what I expected.,2023-11-05 12:22:58,bonda,Morning,"[0.6210252841941752, 0.12063484445090933, -0.8167598270880942]",7
41,18,Female,Student,I found the service to be lacking.,2023-12-29 11:14:38,Egg Curry,Morning,"[-0.5355014164702727, 0.1570557512333548, -0.8617520637063765, -0.5667945725575041, -0.9282595186290095]",4
42,23,Female,Student,The service was prompt and courteous.,2023-07-23 19:25:03,egg,Morning,"[-0.8792099228871602, 0.11313903373348055, 0.815677339561387, -0.916275649441104, 0.10909148095735466]",8
43,26,Male,Student,The food was cold and undercooked.,2023-03-01 17:30:29,uggani,Afternoon,"[-0.826090741056053, -0.504197015798201]",3
44,26,Male,Student,The portions were generous.,2023-05-21 21:03:42,Fish Curry,Morning,[-0.9756870328854339],2
45,24,Male,Student,The service was exceptional.,2023-03-08 06:06:51,Fried Rice,Evening,"[-0.7053065750222329, 0.7583684159517485, -0.6478669956173824, -0.661915969234095, 0.7641325015223852]",5
46,21,Male,Student,The flavors were bold and exciting.,2023-02-13 09:51:26,Ice Cream,Evening,"[0.15950787002903155, -0.5352090714739504, -0.5318862880503104, 0.27174265849043433]",7
47,20,Female,Student,I appreciated the variety of healthy options.,2023-08-27 08:16:26,Masala Dosa,Evening,"[-0.011449936243805192, -0.7384593918328268, 0.8479610754632967, 0.29151646288170974, -0.06252286587101907]",4
48,23,Male,Student,The meal was missing a key ingredient.,2023-01-29 21:27:59,Samosa,Morning,"[-0.5930374125546849, 0.7421452017971659, 0.7216362370428138, -0.1340964709363046]",2
49,19,Male,Student,The temperature could have been better.,2024-09-10 06:31:36,Masala Dosa,Evening,"[-0.9195470345131729, 0.22943337000618524, -0.48116007540015526, 0.15588889437735798]",8
